Source,Target,Source Name,Target Name,Common Users,Source Population,Target Population,Total Population,Exposure,Phi-Correlation,T-Test,P-values,Over-expression
fin,msa,Finnish,Malay (macrolanguage),235,3856,1651705,17694811,0.000142277,-0.001644273,-2.113199786,0.017291911,0.652896412
msa,fin,Malay (macrolanguage),Finnish,235,1651705,3856,17694811,0.060943983,-0.001644273,-2.113199786,0.017291911,0.652896412
ita,jpn,Italian,Japanese,234,89242,2602426,17694811,8.99E-05,-0.029037366,-46.8629268,0,0.017828471
jpn,ita,Japanese,Italian,234,2602426,89242,17694811,0.002622084,-0.029037366,-46.8629268,0,0.017828471
deu,rus,German,Russian,233,73897,243159,17694811,0.000958221,-0.005890171,-2.904549889,0.001839073,0.22944822
rus,deu,Russian,German,233,243159,73897,17694811,0.003153037,-0.005890171,-2.904549889,0.001839073,0.22944822
dan,swe,Danish,Swedish,230,12029,36604,17694811,0.006283466,0.00978856,1.872802692,0.0305518,9.243058308
swe,dan,Swedish,Danish,230,36604,12029,17694811,0.019120459,0.00978856,1.872802692,0.0305518,9.243058308
cat,fra,Catalan,French,230,32376,147843,17694811,0.001555704,-0.000588484,-0.226272631,0.410494848,0.850256198
fra,cat,French,Catalan,230,147843,32376,17694811,0.007104028,-0.000588484,-0.226272631,0.410494848,0.850256198
lav,rus,Latvian,Russian,229,13573,243159,17694811,0.000941771,0.000744895,0.367315111,0.356692152,1.227764898
rus,lav,Russian,Latvian,229,243159,13573,17694811,0.016871731,0.000744895,0.367315111,0.356692152,1.227764898
cat,fil,Catalan,Filipino (macrolanguage),226,32376,257611,17694811,0.000877292,-0.002708763,-1.374842964,0.084590665,0.479475888
fil,cat,Filipino (macrolanguage),Catalan,226,257611,32376,17694811,0.006980479,-0.002708763,-1.374842964,0.084590665,0.479475888
eng,kat,English,Georgian,223,10859465,416,17694811,0.536057692,-0.000773284,-2.548258147,0.005413123,0.873472086
kat,eng,Georgian,English,223,416,10859465,17694811,2.05E-05,-0.000773284,-2.548258147,0.005413123,0.873472086
bel,rus,Belarusian,Russian,216,256,243159,17694811,0.000888308,0.027118459,13.37729028,4.24E-41,61.40014057
rus,bel,Russian,Belarusian,216,243159,256,17694811,0.84375,0.027118459,13.37729028,4.24E-41,61.40014057
msa,vie,Malay (macrolanguage),Vietnamese,210,1651705,6150,17694811,0.034146341,-0.003794288,-4.876400934,5.40E-07,0.365811727
vie,msa,Vietnamese,Malay (macrolanguage),210,6150,1651705,17694811,0.000127141,-0.003794288,-4.876400934,5.40E-07,0.365811727
